section,case,status,ordinal,phase,runtime_ns,pause_or_overhead_ns,cpu_user_ns,cpu_system_ns,rss_bytes,pss_bytes,minor_faults,major_faults,full_copy_bytes,ratio_basis_points,diagnostic
"cow","134217728-1-0","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","134217728-1-100","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","134217728-1-1000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","134217728-1-5000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","134217728-1-10000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","134217728-2-0","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","134217728-2-100","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","134217728-2-1000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","134217728-2-5000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","134217728-2-10000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","134217728-4-0","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","134217728-4-100","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","134217728-4-1000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","134217728-4-5000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","134217728-4-10000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","134217728-8-0","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","134217728-8-100","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","134217728-8-1000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","134217728-8-5000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","134217728-8-10000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-1-0","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-1-100","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-1-1000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-1-5000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-1-10000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-2-0","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-2-100","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-2-1000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-2-5000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-2-10000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-4-0","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-4-100","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-4-1000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-4-5000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-4-10000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-8-0","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-8-100","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-8-1000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-8-5000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","536870912-8-10000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-1-0","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-1-100","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-1-1000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-1-5000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-1-10000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-2-0","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-2-100","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-2-1000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-2-5000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-2-10000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-4-0","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-4-100","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-4-1000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-4-5000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-4-10000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-8-0","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-8-100","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-8-1000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-8-5000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"cow","1073741824-8-10000","unsupported","","","0","0","0","0","0","0","0","0","0","0","platform_not_linux: fork/COW PSS evidence requires Linux /proc"
"isolation","direct","unsupported","","","0","0","0","0","0","0","0","0","0","0","fixture_unconfigured: isolation probe path was not configured"
"isolation","linux","unsupported","","","0","0","0","0","0","0","0","0","0","0","fixture_unconfigured: isolation probe path was not configured"
