schema_version,run_id,section,case,status,elapsed_ns,message,evidence_json
1,bench-da1681b5-799e-40ac-afdb-dfa37e94328c,checkpoint,off-0,succeeded,637842478,,"{""application_capture_ns"":24977435.0,""application_checkpoint_bytes"":400.0,""application_restore_ns"":176641.0,""trace_records"":0.0,""workspace_capture_ns"":456859155.0,""workspace_file_bytes"":1048576.0,""workspace_manifest_bytes"":2928.0,""workspace_restore_ns"":127244149.0,""workspace_validation_ns"":28561297.0}"
1,bench-da1681b5-799e-40ac-afdb-dfa37e94328c,checkpoint,off-1,succeeded,798438595,,"{""application_capture_ns"":24553393.0,""application_checkpoint_bytes"":400.0,""application_restore_ns"":157761.0,""trace_records"":0.0,""workspace_capture_ns"":517288569.0,""workspace_file_bytes"":1048576.0,""workspace_manifest_bytes"":2928.0,""workspace_restore_ns"":228889780.0,""workspace_validation_ns"":27525491.0}"
1,bench-da1681b5-799e-40ac-afdb-dfa37e94328c,checkpoint,off-2,succeeded,651587763,,"{""application_capture_ns"":28105734.0,""application_checkpoint_bytes"":398.0,""application_restore_ns"":156560.0,""trace_records"":0.0,""workspace_capture_ns"":473234377.0,""workspace_file_bytes"":1048576.0,""workspace_manifest_bytes"":2928.0,""workspace_restore_ns"":115735798.0,""workspace_validation_ns"":34331253.0}"
1,bench-da1681b5-799e-40ac-afdb-dfa37e94328c,checkpoint,off-3,succeeded,627119251,,"{""application_capture_ns"":26701966.0,""application_checkpoint_bytes"":400.0,""application_restore_ns"":155561.0,""trace_records"":0.0,""workspace_capture_ns"":453212372.0,""workspace_file_bytes"":1048576.0,""workspace_manifest_bytes"":2928.0,""workspace_restore_ns"":118191853.0,""workspace_validation_ns"":28832619.0}"
1,bench-da1681b5-799e-40ac-afdb-dfa37e94328c,checkpoint,off-4,succeeded,684440647,,"{""application_capture_ns"":25599559.0,""application_checkpoint_bytes"":400.0,""application_restore_ns"":151561.0,""trace_records"":0.0,""workspace_capture_ns"":495704195.0,""workspace_file_bytes"":1048576.0,""workspace_manifest_bytes"":2928.0,""workspace_restore_ns"":133074786.0,""workspace_validation_ns"":29885946.0}"
1,bench-da1681b5-799e-40ac-afdb-dfa37e94328c,checkpoint,off-5,succeeded,645956208,,"{""application_capture_ns"":22878382.0,""application_checkpoint_bytes"":400.0,""application_restore_ns"":147761.0,""trace_records"":0.0,""workspace_capture_ns"":464047279.0,""workspace_file_bytes"":1048576.0,""workspace_manifest_bytes"":2928.0,""workspace_restore_ns"":127936154.0,""workspace_validation_ns"":30924872.0}"
1,bench-da1681b5-799e-40ac-afdb-dfa37e94328c,checkpoint,off-6,succeeded,672690094,,"{""application_capture_ns"":25641199.0,""application_checkpoint_bytes"":400.0,""application_restore_ns"":182561.0,""trace_records"":0.0,""workspace_capture_ns"":491092127.0,""workspace_file_bytes"":1048576.0,""workspace_manifest_bytes"":2928.0,""workspace_restore_ns"":128866800.0,""workspace_validation_ns"":26884367.0}"
1,bench-da1681b5-799e-40ac-afdb-dfa37e94328c,checkpoint,off-7,succeeded,711477815,,"{""application_capture_ns"":46179167.0,""application_checkpoint_bytes"":400.0,""application_restore_ns"":157481.0,""trace_records"":0.0,""workspace_capture_ns"":513431666.0,""workspace_file_bytes"":1048576.0,""workspace_manifest_bytes"":2928.0,""workspace_restore_ns"":122858282.0,""workspace_validation_ns"":28825099.0}"
1,bench-da1681b5-799e-40ac-afdb-dfa37e94328c,checkpoint,off-8,succeeded,676890240,,"{""application_capture_ns"":25612439.0,""application_checkpoint_bytes"":400.0,""application_restore_ns"":149081.0,""trace_records"":0.0,""workspace_capture_ns"":493192740.0,""workspace_file_bytes"":1048576.0,""workspace_manifest_bytes"":2928.0,""workspace_restore_ns"":123477046.0,""workspace_validation_ns"":34436014.0}"
1,bench-da1681b5-799e-40ac-afdb-dfa37e94328c,checkpoint,off-9,succeeded,1130058732,,"{""application_capture_ns"":20588128.0,""application_checkpoint_bytes"":400.0,""application_restore_ns"":155081.0,""trace_records"":0.0,""workspace_capture_ns"":936097329.0,""workspace_file_bytes"":1048576.0,""workspace_manifest_bytes"":2928.0,""workspace_restore_ns"":141122955.0,""workspace_validation_ns"":32070639.0}"
